State_County,Average of Intra Annual Precipitation,Average of Heat Degree Hours,Average of Growing Degree Days,Average of Season Length,Average of Chill Hours
AR_Nevada,238,772,7160,289,438
AR_Newton,213,496,6187,264,596
AR_Ouachita,235,774,7149,284,434
AR_Perry,229,746,6822,276,511
AR_Phillips,228,745,7016,298,521
AR_Pike,256,670,6727,273,486
AR_Poinsett,212,739,6788,291,588
AR_Polk,260,629,6626,273,501
AR_Pope,224,701,6658,270,532
AR_Prairie,223,751,6964,298,532
AR_Pulaski,227,732,6950,293,510
AR_Randolph,210,667,6405,267,616
AR_Saint Francis,220,726,6889,295,555
AR_Saline,247,727,6931,284,482
AR_Scott,237,717,6758,274,500
AR_Searcy,212,550,6268,264,584
AR_Sebastian,222,746,6832,278,503
AR_Sevier,247,746,6996,281,448
AR_Sharp,209,629,6247,256,596
AR_Stone,221,598,6305,263,582
AR_Union,231,798,7319,292,407
AR_Van Buren,232,530,6224,264,593
AR_Washington,217,528,6223,263,581
AR_White,224,717,6774,285,545
AR_Woodruff,221,742,6848,293,561
AR_Yell,228,732,6777,275,512
AZ_Apache,75,416,5158,206,661
AZ_Cochise,101,716,6912,282,344
AZ_Coconino,68,554,5516,225,638
AZ_Graham,97,660,6768,281,381
AZ_La Paz,43,1181,9206,359,206
AZ_Maricopa,54,1155,9024,355,216
AZ_Mohave,71,939,7222,332,402
AZ_Navajo,63,547,5468,219,616
AZ_Pima,73,1083,8628,348,237
AZ_Pinal,63,1127,8789,345,236
AZ_Santa Cruz,147,644,7049,304,321
AZ_Yavapai,109,675,6325,263,439
AZ_Yuma,35,1158,9230,362,187
CA_Alameda,166,244,6334,363,319
CA_Alpine,123,162,4007,175,820
CA_Amador,203,654,6747,353,350
CA_Butte,222,696,6858,353,359
CA_Calaveras,232,621,6591,344,386
CA_Colusa,126,636,6702,343,323
CA_Contra Costa,142,410,6542,354,320
CA_Del Norte,497,0,5061,365,401
CA_El Dorado,392,296,5429,281,680
CA_Fresno,84,759,7084,346,340
CA_Glenn,171,703,6899,352,352
CA_Humboldt,420,55,5322,356,463
CA_Imperial,29,1145,9257,364,176
CA_Inyo,47,796,6213,257,468
CA_Kern,72,808,7309,347,320
CA_Kings,68,795,7176,344,333
CA_Lake,277,500,6169,335,450
CA_Lassen,104,235,4234,195,932
CA_Los Angeles,138,529,6750,349,363
CA_Madera,93,729,7010,347,337
CA_Marin,321,61,6133,365,284
CA_Mariposa,339,90,4784,246,779
CA_Mendocino,316,284,5606,321,456
CA_Merced,98,686,6952,347,327
CA_Modoc,92,204,3994,182,995
CA_Mono,81,69,3727,166,805
CA_Monterey,154,141,6044,348,359
CA_Napa,267,390,6373,358,364
CA_Nevada,260,590,6611,351,368
CA_Orange,154,187,7317,365,123
CA_Placer,200,604,6761,345,328
CA_Plumas,294,213,4417,211,880
CA_Riverside,79,793,7667,358,254
CA_Sacramento,156,567,6775,351,308
CA_San Benito,165,318,6229,347,359
CA_San Bernardino,53,994,7716,337,313
CA_San Diego,148,397,6933,360,296
CA_San Joaquin,122,582,6779,345,320
CA_San Luis Obispo,164,457,6267,340,353
CA_San Mateo,250,0,5510,365,301
CA_Santa Barbara,157,46,6269,362,308
CA_Santa Clara,178,266,6283,358,341
CA_Shasta,240,582,6347,317,492
CA_Sierra,156,162,3942,172,870
CA_Siskiyou,130,276,4542,217,917
CA_Solano,180,533,6690,354,320
CA_Sonoma,311,191,6149,362,355
CA_Stanislaus,105,645,6891,351,329
CA_Sutter,160,662,6880,352,310
CA_Tehama,213,729,6833,348,379
CA_Trinity,449,185,4667,249,930
CA_Tulare,101,790,7184,347,327
CA_Tuolumne,320,334,5378,263,687
CA_Ventura,181,320,6903,365,242
CA_Yolo,171,656,6835,354,334
CA_Yuba,192,678,6934,357,320
CO_Adams,90,440,4747,190,704
CO_Alamosa,50,23,3411,152,752
CO_Arapahoe,91,398,4688,190,712
CO_Archuleta,226,0,1912,118,837
CO_Baca,101,598,5511,214,600
CO_Bent,86,678,5465,205,601
CO_Boulder,86,375,4748,196,719
CO_Chaffee,59,6,2635,135,788
CO_Cheyenne,93,480,4922,193,645
CO_Clear Creek,118,0,1662,106,650
CO_Conejos,69,5,3302,144,773
CO_Costilla,69,9,3349,150,797
CO_Crowley,75,669,5320,198,601
CO_Custer,89,4,3258,153,848
CO_Delta,75,357,4657,205,874
CO_Denver,92,387,4833,201,723
CO_Dolores,97,156,4082,178,918
CO_Douglas,101,195,4338,184,740
CO_Eagle,86,0,2571,134,822
CO_El Paso,111,35,3760,172,823
CO_Elbert,81,224,4311,178,698
CO_Fremont,87,198,4739,193,762
CO_Garfield,81,126,4057,189,943
CO_Grand,74,0,2687,127,729
CO_Gunnison,98,0,2022,117,756
CO_Hinsdale,143,0,1906,112,844
CO_Huerfano,92,2,3348,162,851
CO_Jackson,69,0,2593,123,823
CO_Jefferson,95,263,4694,202,743
CO_Kiowa,97,554,5106,199,645
CO_Kit Carson,107,460,4911,197,687
CO_La Plata,139,0,3197,154,881
CO_Lake,80,0,2062,115,799
CO_Larimer,94,216,4342,185,777
CO_Las Animas,86,479,5201,204,621
CO_Lincoln,100,343,4548,185,708
CO_Logan,103,451,4733,190,711
CO_Mesa,57,519,5025,220,855
CO_Mineral,139,0,2045,116,834
CO_Moffat,68,131,3645,170,882
CO_Montezuma,83,244,4379,193,879
CO_Montrose,57,363,4668,204,875
CO_Morgan,90,485,4779,190,698
CO_Otero,72,660,5439,204,597
CO_Ouray,84,23,3529,162,874
CO_Park,88,0,2559,129,834
CO_Phillips,109,472,4870,196,695
CO_Pitkin,163,0,1598,93,697
CO_Prowers,97,645,5405,207,609
CO_Pueblo,83,481,5105,201,648
CO_Rio Blanco,70,199,3846,170,880
CO_Rio Grande,58,5,3313,150,766
CO_Routt,94,23,3131,147,835
CO_Saguache,67,1,3155,145,791
CO_San Juan,197,0,1740,106,856
CO_San Miguel,87,72,3836,175,909
CO_Sedgwick,107,489,4891,196,691
CO_Teller,107,0,2918,143,863
CO_Washington,102,426,4728,191,713
CO_Weld,84,434,4699,189,716
CO_Yuma,107,500,4968,199,691
CT_Fairfield,192,149,4975,257,967
CT_Hartford,168,171,4739,237,949
CT_Litchfield,175,88,4351,216,922
CT_New Haven,177,91,4856,253,952
CT_New London,179,87,4759,248,943
CT_Tolland,173,104,4510,228,951
DE_Kent,145,304,5720,272,728
DE_New Castle,158,331,5657,270,808
DE_Sussex,165,344,5859,276,717
FL_Alachua,248,740,8212,324,189
FL_Baker,243,697,7977,315,209
FL_Bay,263,684,7873,316,238
FL_Bradford,242,695,8075,321,196
FL_Brevard,258,650,8784,356,65
FL_Broward,262,747,9198,364,26
FL_Calhoun,249,707,7794,310,255
FL_Charlotte,277,741,8983,356,44
FL_Citrus,275,685,8292,335,164
FL_Collier,266,751,9182,362,29
FL_Columbia,237,745,8125,323,202
FL_DeSoto,270,732,8878,352,54
FL_Dixie,292,695,8025,324,207
FL_Duval,246,673,8122,332,184
FL_Escambia,262,684,7645,308,273
FL_Gadsden,230,710,7854,314,249
FL_Gilchrist,256,754,8177,322,198
FL_Glades,258,734,8971,354,44
FL_Hamilton,221,731,7958,315,228
FL_Hardee,273,741,8887,351,55
FL_Hendry,263,743,9071,359,36
FL_Hernando,265,724,8627,348,126
FL_Highlands,265,738,8899,350,54
FL_Hillsborough,281,727,8888,357,56
FL_Holmes,229,685,7656,308,281
FL_Indian River,273,690,8901,356,45
FL_Jackson,223,724,7817,314,263
FL_Jefferson,228,715,7893,314,240
FL_Lafayette,243,743,8104,320,209
FL_Lake,246,730,8643,347,122
FL_Lee,298,745,9218,364,26
FL_Leon,249,730,7929,315,238
FL_Levy,276,714,8249,329,178
FL_Liberty,249,712,7842,313,250
FL_Madison,226,733,8025,321,220
FL_Manatee,298,714,8888,359,46
FL_Marion,246,728,8414,337,155
FL_Martin,253,688,9088,364,26
FL_Miami-Dade,322,612,9315,365,9
FL_Nassau,228,731,7984,316,212
FL_Okaloosa,252,704,7607,304,285
FL_Okeechobee,260,698,8935,355,45
FL_Orange,252,736,8734,349,111
FL_Osceola,264,722,8830,351,72
FL_Palm Beach,261,700,9070,364,28
FL_Pasco,278,736,8733,354,110
FL_Polk,266,754,8910,352,62
FL_Putnam,236,742,8313,331,170
FL_Saint Johns,254,688,8341,344,146
FL_Saint Lucie,260,679,8939,359,39
FL_Santa Rosa,267,697,7725,315,261
FL_Sarasota,302,736,8933,361,44
FL_Seminole,258,711,8611,349,114
FL_Sumter,251,736,8626,347,126
FL_Suwannee,233,757,8138,322,206
FL_Taylor,276,729,8118,333,192
FL_Volusia,244,719,8453,342,139
FL_Walton,251,693,7707,312,266
FL_Washington,234,708,7762,311,265
GA_Appling,192,727,7713,307,269
GA_Atkinson,201,737,7728,306,267
GA_Bacon,200,715,7747,311,262
GA_Baker,210,741,7811,312,268
GA_Baldwin,183,687,7161,286,369
GA_Banks,200,474,6620,282,466
GA_Barrow,197,514,6750,288,446
GA_Bartow,197,497,6559,275,487
GA_Ben Hill,188,747,7627,304,293
GA_Berrien,197,720,7731,308,267
GA_Bleckley,185,721,7398,297,334
GA_Brantley,217,735,7835,308,240
GA_Brooks,218,728,7844,312,251
GA_Bulloch,194,722,7663,311,287
GA_Burke,182,677,7292,293,346
GA_Butts,188,616,7053,290,385
GA_Calhoun,206,693,7671,309,285
GA_Candler,189,743,7670,309,291
GA_Carroll,206,423,6571,278,459
GA_Catoosa,203,437,6320,267,534
GA_Charlton,233,799,8117,319,205
GA_Chattooga,211,490,6451,271,506
GA_Cherokee,214,338,6326,278,526
GA_Clarke,186,556,6888,291,433
GA_Clay,213,682,7592,308,299
GA_Clinch,213,742,7815,308,245
GA_Cobb,204,423,6503,277,492
GA_Coffee,195,739,7678,305,281
GA_Colquitt,205,727,7803,315,261
GA_Columbia,178,656,6965,279,401
GA_Cook,198,720,7755,309,264
GA_Coweta,196,546,6858,286,413
GA_Crawford,189,658,7232,294,357
GA_Crisp,189,783,7681,308,301
GA_Dade,236,206,6008,271,620
GA_Decatur,217,763,7906,315,255
GA_Dodge,186,744,7521,302,318
GA_Dooly,188,745,7530,302,318
GA_Dougherty,205,746,7709,309,287
GA_Douglas,205,464,6609,278,467
GA_Early,214,718,7722,312,281
GA_Echols,213,727,7804,308,248
GA_Effingham,196,730,7631,306,295
GA_Elbert,184,510,6675,278,449
GA_Emanuel,185,725,7547,303,308
GA_Evans,186,717,7620,305,290
GA_Fannin,220,255,5891,250,539
GA_Fayette,193,553,6936,294,425
GA_Floyd,205,521,6573,274,491
GA_Forsyth,213,371,6385,276,504
GA_Franklin,195,514,6734,287,451
GA_Fulton,206,435,6562,281,480
GA_Glascock,183,629,7070,288,382
GA_Glynn,218,645,7856,326,223
GA_Gordon,197,517,6517,272,499
GA_Grady,215,725,7855,315,255
GA_Greene,184,607,6959,288,408
GA_Gwinnett,200,481,6684,287,458
GA_Habersham,228,323,6180,265,517
GA_Hall,219,364,6383,276,501
GA_Hancock,182,650,7110,288,377
GA_Haralson,202,472,6593,275,455
GA_Harris,201,614,7045,287,380
GA_Hart,191,499,6697,285,455
GA_Heard,206,482,6712,281,436
GA_Henry,194,576,6918,290,424
GA_Houston,187,723,7416,298,334
GA_Irwin,186,728,7677,310,287
GA_Jackson,202,498,6713,288,454
GA_Jasper,187,602,6999,288,397
GA_Jeff Davis,192,722,7649,306,284
GA_Jefferson,182,680,7284,293,349
GA_Jenkins,180,710,7436,297,325
GA_Johnson,186,685,7354,297,337
GA_Jones,185,676,7225,291,358
GA_Lamar,189,590,7028,290,382
GA_Lanier,203,731,7803,309,253
GA_Laurens,187,745,7458,297,327
GA_Lee,196,742,7651,308,298
GA_Liberty,213,619,7781,333,228
GA_Lincoln,172,632,6915,279,410
GA_Long,195,745,7834,316,254
GA_Lowndes,211,734,7862,312,244
GA_Macon,185,723,7442,300,331
GA_Madison,189,511,6721,286,452
GA_Marion,199,647,7271,297,347
GA_McDuffie,179,618,6966,281,394
GA_Meriwether,191,587,6989,286,387
GA_Miller,213,754,7831,314,265
GA_Mitchell,210,751,7820,312,266
GA_Monroe,189,640,7136,290,367
GA_Montgomery,187,736,7643,306,291
GA_Morgan,187,598,6937,290,418
GA_Murray,210,432,6380,272,532
GA_Muscogee,196,651,7263,298,352
GA_Newton,192,563,6859,286,428
GA_Oglethorpe,186,556,6842,287,433
GA_Paulding,206,486,6562,274,480
GA_Peach,188,689,7327,296,345
GA_Pickens,214,358,6333,276,522
GA_Pierce,207,745,7781,307,255
GA_Pike,188,578,6972,287,392
GA_Polk,196,520,6621,275,471
GA_Pulaski,186,745,7495,299,321
GA_Putnam,184,635,7069,291,389
GA_Quitman,207,698,7524,305,310
GA_Randolph,201,701,7557,305,304
GA_Richmond,183,710,7298,291,348
GA_Rockdale,197,487,6688,285,459
GA_Schley,193,698,7410,302,332
GA_Screven,194,704,7492,300,315
GA_Seminole,217,763,7893,316,257
GA_Spalding,189,553,6917,289,406
GA_Stephens,222,407,6517,283,480
GA_Sumter,194,713,7477,302,322
GA_Talbot,200,597,7140,293,361
GA_Taliaferro,178,606,6963,285,404
GA_Tattnall,188,726,7679,307,280
GA_Taylor,193,661,7265,295,349
GA_Telfair,184,736,7603,303,296
GA_Terrell,200,708,7572,305,304
GA_Thomas,215,731,7887,316,247
GA_Tift,191,693,7655,309,287
GA_Toombs,187,741,7678,307,284
GA_Towns,204,191,5710,243,545
GA_Treutlen,187,737,7543,302,307
GA_Troup,203,586,6961,285,390
GA_Turner,190,718,7612,307,299
GA_Twiggs,183,721,7397,297,337
GA_Union,208,181,5675,241,551
GA_Upson,193,602,7093,292,373
GA_Walker,206,422,6335,269,531
GA_Walton,196,532,6809,288,438
GA_Ware,207,740,7802,308,251
GA_Warren,178,607,6946,283,407
GA_Washington,185,638,7204,293,358
GA_Wayne,201,742,7797,309,251
GA_Webster,198,673,7386,300,331
GA_Wheeler,186,745,7583,303,300
GA_White,251,139,5641,249,570
GA_Whitfield,204,456,6364,268,527
GA_Wilcox,187,751,7557,302,311
GA_Wilkes,180,590,6877,282,420
GA_Wilkinson,181,723,7366,295,342
GA_Worth,195,715,7666,309,288
IA_Adair,184,365,4952,218,783
IA_Adams,188,362,4939,216,773
IA_Allamakee,178,213,4425,211,810
IA_Appanoose,194,365,5083,226,794
IA_Audubon,180,334,4782,211,788
IA_Benton,180,303,4745,217,811
IA_Black Hawk,181,276,4631,214,803
IA_Boone,185,315,4768,215,803
IA_Bremer,183,262,4563,212,789
IA_Buchanan,179,261,4583,213,805
IA_Buena Vista,174,263,4507,205,773
IA_Butler,181,286,4634,214,795
IA_Calhoun,172,305,4653,209,790
IA_Carroll,173,319,4716,209,793
IA_Cass,186,363,4888,214,777
IA_Cedar,172,315,4846,222,828
IA_Cerro Gordo,181,235,4424,208,769
IA_Cherokee,164,288,4527,203,770
IA_Chickasaw,181,241,4483,211,784
IA_Clarke,188,356,4976,220,783
IA_Clay,165,255,4438,204,763
IA_Clayton,173,244,4497,211,810
IA_Clinton,168,297,4795,221,840
IA_Crawford,168,310,4749,212,794
IA_Dallas,181,338,4867,217,802
IA_Davis,191,402,5193,230,798
IA_Decatur,191,365,5019,221,781
IA_Delaware,177,233,4483,209,803
IA_Des Moines,173,383,5203,237,837
IA_Dickinson,161,230,4356,203,749
IA_Dubuque,169,230,4537,215,828
IA_Emmet,164,224,4378,204,759
IA_Fayette,180,228,4432,207,780
IA_Floyd,181,260,4544,212,783
IA_Franklin,181,262,4538,210,781
IA_Fremont,185,449,5229,226,763
IA_Greene,177,342,4811,214,797
IA_Grundy,183,269,4597,211,792
IA_Guthrie,183,341,4798,212,788
IA_Hamilton,182,288,4627,210,788
IA_Hancock,170,239,4455,208,762
IA_Hardin,183,280,4615,211,790
IA_Harrison,177,386,4942,215,779
IA_Henry,177,400,5225,237,835
IA_Howard,179,203,4312,205,763
IA_Humboldt,171,269,4568,210,780
IA_Ida,169,302,4646,207,787
IA_Iowa,180,344,4899,221,815
IA_Jackson,167,254,4618,215,831
IA_Jasper,184,337,4889,221,810
IA_Jefferson,178,420,5222,235,828
IA_Johnson,177,366,5025,229,837
IA_Jones,172,283,4676,215,819
IA_Keokuk,176,376,5047,227,817
IA_Kossuth,168,245,4486,209,768
IA_Lee,179,419,5312,239,831
IA_Linn,176,302,4748,218,818
IA_Louisa,172,388,5177,236,845
IA_Lucas,192,359,4995,221,794
IA_Lyon,151,300,4443,200,739
IA_Madison,182,354,4947,219,790
IA_Mahaska,184,363,5017,225,810
IA_Marion,186,377,5073,227,809
IA_Marshall,187,285,4680,214,804
IA_Mills,185,420,5114,221,770
IA_Mitchell,177,222,4398,209,768
IA_Monona,171,385,4927,215,783
IA_Monroe,190,369,5070,227,802
IA_Montgomery,191,404,5056,219,775
IA_Muscatine,173,373,5091,232,846
IA_O'Brien,163,271,4471,204,753
IA_Osceola,160,231,4322,200,738
IA_Page,190,414,5118,222,768
IA_Palo Alto,167,252,4489,208,771
IA_Plymouth,152,336,4658,205,764
IA_Pocahontas,170,278,4556,207,775
IA_Polk,185,335,4904,222,810
IA_Pottawattamie,186,373,4957,217,780
IA_Poweshiek,182,336,4808,217,810
IA_Ringgold,190,362,5021,221,771
IA_Sac,173,289,4608,207,791
IA_Scott,168,333,4978,230,847
IA_Shelby,179,338,4828,213,785
IA_Sioux,152,310,4552,203,753
IA_Story,188,287,4718,215,805
IA_Tama,188,297,4692,214,802
IA_Taylor,192,379,5041,220,768
IA_Union,185,352,4961,219,779
IA_Van Buren,184,447,5291,235,813
IA_Wapello,182,393,5157,232,815
IA_Warren,184,364,5004,224,801
IA_Washington,173,394,5117,232,839
IA_Wayne,192,345,4973,220,787
IA_Webster,180,297,4658,211,788
IA_Winnebago,175,232,4417,208,763
IA_Winneshiek,177,213,4380,208,784
IA_Woodbury,159,348,4771,210,779
IA_Worth,176,218,4361,207,761
IA_Wright,178,255,4518,207,772
ID_Ada,63,478,4878,238,940
ID_Adams,134,344,4115,195,1010
ID_Bannock,98,248,3942,189,986
ID_Bear Lake,80,103,3267,151,847
ID_Benewah,145,154,3790,221,1311
ID_Bingham,56,274,3941,186,896
ID_Blaine,96,156,3509,157,872
ID_Boise,159,216,3917,193,1019
ID_Bonner,179,81,3483,200,1308
ID_Bonneville,64,204,3740,182,880
ID_Boundary,124,136,3787,216,1301
ID_Butte,52,237,3614,162,794
ID_Camas,97,157,3344,148,834
ID_Canyon,57,501,5004,244,918
ID_Caribou,81,158,3467,159,890
ID_Cassia,63,307,4271,200,957
ID_Clark,66,122,3415,166,779
ID_Clearwater,166,173,3976,230,1184
ID_Custer,139,1,2461,125,827
ID_Elmore,124,237,3696,175,948
ID_Franklin,91,348,4130,192,936
ID_Fremont,79,100,3326,158,856
ID_Gem,77,484,4857,239,953
ID_Gooding,62,500,4757,221,941
ID_Idaho,132,110,3670,204,1096
ID_Jefferson,52,234,3685,170,796
ID_Jerome,61,425,4547,212,947
ID_Kootenai,129,175,4002,237,1352
ID_Latah,134,178,3941,230,1269
ID_Lemhi,109,28,2901,150,888
ID_Lewis,99,141,3821,220,1167
ID_Lincoln,62,379,4241,194,913
ID_Madison,76,115,3427,165,874
ID_Minidoka,55,338,4259,196,922
ID_Nez Perce,103,273,4481,263,1134
ID_Oneida,93,278,4080,196,992
ID_Owyhee,57,408,4591,218,945
ID_Payette,63,522,4924,237,923
ID_Power,72,309,4121,195,960
ID_Shoshone,196,100,3442,200,1341
ID_Teton,83,51,3107,151,864
ID_Twin Falls,59,363,4536,219,957
ID_Valley,177,7,2471,115,878
ID_Washington,108,459,4556,219,977
IL_Adams,175,438,5411,241,805
IL_Alexander,207,578,6201,268,684
IL_Bond,173,499,5699,250,777
IL_Boone,161,259,4655,219,875
IL_Brown,170,451,5427,239,795
IL_Bureau,160,346,4975,227,853
IL_Calhoun,166,500,5596,242,772
IL_Carroll,168,287,4673,214,850
IL_Cass,168,457,5428,238,800
IL_Champaign,163,379,5256,237,838
IL_Christian,166,449,5491,243,802
IL_Clark,177,439,5562,247,807
IL_Clay,186,496,5714,251,777
IL_Clinton,181,494,5757,253,771
IL_Coles,171,429,5515,247,822
IL_Cook,165,284,4917,234,901
IL_Crawford,172,444,5619,248,777
IL_Cumberland,175,447,5567,248,808
IL_De Witt,160,389,5246,235,827
IL_DeKalb,163,266,4727,221,861
IL_Douglas,167,441,5476,244,821
IL_DuPage,162,299,4863,229,893
IL_Edgar,169,404,5426,243,825
IL_Edwards,194,539,5881,257,760
IL_Effingham,147,363,5401,238,742
IL_Fayette,156,406,5484,241,757
IL_Ford,157,345,5087,231,853
IL_Franklin,192,536,5906,257,744
IL_Fulton,165,425,5264,233,815
IL_Gallatin,194,539,6008,259,723
IL_Greene,167,481,5577,243,780
IL_Grundy,158,321,4970,230,871
IL_Hamilton,190,529,5864,254,745
IL_Hancock,177,443,5364,238,811
IL_Hardin,195,527,6072,262,690
IL_Henderson,170,399,5219,235,830
IL_Henry,162,350,5021,229,846
IL_Iroquois,161,343,5082,232,856
IL_Jackson,196,554,5939,254,732
IL_Jasper,158,391,5504,244,757
IL_Jefferson,187,517,5785,251,757
IL_Jersey,155,451,5594,242,744
IL_Jo Daviess,169,242,4560,212,840
IL_Johnson,204,540,6095,265,694
IL_Kane,161,251,4678,220,868
IL_Kankakee,165,324,4991,230,867
IL_Kendall,159,299,4882,229,884
IL_Knox,162,374,5114,231,830
IL_La Salle,159,322,4951,228,860
IL_Lake,152,196,4576,226,908
IL_Lawrence,191,487,5729,252,783
IL_Lee,162,291,4766,219,843
IL_Livingston,154,357,5121,232,852
IL_Logan,163,436,5378,238,819
IL_Macon,166,437,5438,242,820
IL_Macoupin,166,493,5651,248,786
IL_Madison,174,518,5779,252,770
IL_Marion,181,490,5693,249,774
IL_Marshall,157,389,5131,230,845
IL_Mason,162,454,5371,237,808
IL_Massac,204,556,6181,268,678
IL_McDonough,170,423,5291,236,818
IL_McHenry,159,243,4613,220,883
IL_McLean,155,382,5214,234,839
IL_Menard,163,438,5410,240,808
IL_Mercer,166,371,5115,233,842
IL_Monroe,184,536,5889,255,739
IL_Montgomery,169,486,5603,246,787
IL_Morgan,168,447,5441,238,794
IL_Moultrie,169,437,5467,244,816
IL_Ogle,161,271,4693,218,853
IL_Peoria,160,379,5113,228,826
IL_Perry,187,538,5903,256,746
IL_Piatt,165,399,5333,239,832
IL_Pike,170,465,5485,241,787
IL_Pope,202,543,6077,261,692
IL_Pulaski,202,567,6187,269,689
IL_Putnam,158,367,5028,227,848
IL_Randolph,187,575,5935,253,733
IL_Richland,187,478,5695,251,785
IL_Rock Island,166,357,5060,231,848
IL_Saint Clair,182,550,5922,257,747
IL_Saline,196,550,5991,257,725
IL_Sangamon,163,446,5480,242,806
IL_Schuyler,173,450,5412,240,808
IL_Scott,168,462,5481,240,789
IL_Shelby,172,456,5544,246,806
IL_Stark,159,352,5006,225,836
IL_Stephenson,165,240,4563,214,854
IL_Tazewell,158,420,5269,234,830
IL_Union,206,550,6082,263,695
IL_Vermilion,164,367,5252,237,838
IL_Wabash,193,520,5827,255,762
IL_Warren,165,394,5180,234,831
IL_Washington,180,513,5859,256,758
IL_Wayne,189,518,5813,255,763
IL_White,193,532,5915,257,743
IL_Whiteside,168,331,4906,224,855
IL_Will,166,299,4933,230,881
