State,value,Analog,Category,
AL_Houston,TX_Atascosa,good analog,Speciality Crop,
AL_Mobile,TX_Lavaca,good analog,Speciality Crop,
AL_Mobile,TX_Colorado,good analog,Speciality Crop,
AL_Mobile,TX_Fort Bend,good analog,Speciality Crop,
AL_Mobile,TX_Wharton,good analog,Speciality Crop,
AL_Mobile,TX_Liberty,good analog,Non Speciality Crop,
AL_Mobile,TX_Goliad,good analog,Non Speciality Crop,
AL_Mobile,TX_Austin,good analog,Speciality Crop,
AL_Mobile,TX_Harris,good analog,Non Speciality Crop,
AL_Mobile,TX_Fayette,good analog,Speciality Crop,
AL_Mobile,TX_Gonzales,good analog,Speciality Crop,
AL_Pike,TX_Washington,good analog,Speciality Crop,
AL_Pike,TX_Guadalupe,good analog,Speciality Crop,
AL_Pike,TX_Fayette,good analog,Speciality Crop,
AL_Pike,TX_Hays,good analog,Non Speciality Crop,
AL_Pike,TX_San Jacinto,good analog,Non Speciality Crop,
AL_Pike,TX_Colorado,good analog,Speciality Crop,
AL_Pike,TX_Gonzales,good analog,Speciality Crop,
AL_Pike,TX_Caldwell,good analog,Speciality Crop,
AL_Pike,TX_Brazos,good analog,Speciality Crop,
AL_Pike,TX_Burleson,good analog,Speciality Crop,
AR_Bradley,TX_Hill,good analog,Non Speciality Crop,
AR_Bradley,TX_McLennan,good analog,Non Speciality Crop,
AR_Bradley,TX_Tarrant,good analog,Non Speciality Crop,
AR_Bradley,TX_Ellis,good analog,Speciality Crop,
AR_Bradley,TX_Johnson,good analog,Non Speciality Crop,
AR_Bradley,TX_Bell,good analog,Speciality Crop,
AR_Bradley,TX_Freestone,good analog,Non Speciality Crop,
AR_Bradley,TX_Grimes,good analog,Non Speciality Crop,
AR_Bradley,TX_Brazos,good analog,Speciality Crop,
AR_Bradley,TX_Navarro,good analog,Speciality Crop,
AR_Chicot,TX_Bell,good analog,Speciality Crop,
AR_Chicot,TX_Milam,good analog,Speciality Crop,
AR_Chicot,TX_Williamson,good analog,Speciality Crop,
AR_Chicot,TX_Travis,good analog,Speciality Crop,
AR_Chicot,TX_Falls,good analog,Non Speciality Crop,
AR_Chicot,TX_McLennan,good analog,Non Speciality Crop,
AR_Chicot,TX_Grimes,good analog,Non Speciality Crop,
AR_Chicot,TX_Bastrop,good analog,Speciality Crop,
AR_Chicot,TX_Guadalupe,good analog,Speciality Crop,
AR_Chicot,TX_Fayette,good analog,Speciality Crop,
AR_Conway,TX_Denton,good analog,Non Speciality Crop,
AR_Conway,TX_Collin,good analog,Speciality Crop,
AR_Conway,TX_Dallas,good analog,Non Speciality Crop,
AR_Conway,TX_Tarrant,good analog,Non Speciality Crop,
AR_Conway,TX_Kaufman,good analog,Non Speciality Crop,
AR_Conway,TX_Wise,good analog,Speciality Crop,
AR_Cross,TX_Dallas,good analog,Non Speciality Crop,
AR_Cross,TX_Denton,good analog,Non Speciality Crop,
AR_Cross,TX_Tarrant,good analog,Non Speciality Crop,
AR_Cross,TX_Rockwall,good analog,Non Speciality Crop,
AR_Cross,TX_Kaufman,good analog,Non Speciality Crop,
AR_Cross,TX_Ellis,good analog,Speciality Crop,
AR_Cross,TX_McLennan,good analog,Non Speciality Crop,
AR_Cross,TX_Collin,good analog,Speciality Crop,
AR_Cross,MS_Washington,good analog,Non Speciality Crop,
AR_Jefferson,TX_Dallas,good analog,Non Speciality Crop,
AR_Jefferson,TX_Kaufman,good analog,Non Speciality Crop,
AR_Jefferson,TX_Tarrant,good analog,Non Speciality Crop,
AR_Jefferson,TX_McLennan,good analog,Non Speciality Crop,
AR_Jefferson,TX_Williamson,good analog,Speciality Crop,
AR_Jefferson,TX_Travis,good analog,Speciality Crop,
AR_Jefferson,TX_Ellis,good analog,Speciality Crop,
AR_Jefferson,TX_Bell,good analog,Speciality Crop,
AR_Jefferson,TX_Falls,good analog,Non Speciality Crop,
AR_Jefferson,TX_Hays,good analog,Non Speciality Crop,
AR_Little River,TX_Johnson,good analog,Non Speciality Crop,
AR_Little River,TX_Hill,good analog,Non Speciality Crop,
AR_Little River,TX_Madison,good analog,Speciality Crop,
AR_Little River,TX_Freestone,good analog,Non Speciality Crop,
AR_Little River,TX_San Augustine,good analog,Non Speciality Crop,
AR_Little River,TX_Robertson,good analog,Speciality Crop,
AR_Little River,TX_Grimes,good analog,Non Speciality Crop,
AR_Little River,TX_Brazos,good analog,Speciality Crop,
AR_Little River,TX_Navarro,good analog,Speciality Crop,
AR_Lonoke,TX_Dallas,good analog,Non Speciality Crop,
AR_Lonoke,TX_Tarrant,good analog,Non Speciality Crop,
AR_Lonoke,TX_Ellis,good analog,Speciality Crop,
AR_Lonoke,TX_Kaufman,good analog,Non Speciality Crop,
AR_Lonoke,TX_McLennan,good analog,Non Speciality Crop,
AR_Lonoke,TX_Bell,good analog,Speciality Crop,
AR_Lonoke,TX_Rockwall,good analog,Non Speciality Crop,
AR_Lonoke,TX_Williamson,good analog,Speciality Crop,
AR_Lonoke,MS_Washington,good analog,Non Speciality Crop,
AR_Lonoke,MS_Humphreys,good analog,Non Speciality Crop,
AR_Miller,TX_Brazos,good analog,Speciality Crop,
AR_Miller,TX_Grimes,good analog,Non Speciality Crop,
AR_Miller,TX_Robertson,good analog,Speciality Crop,
AR_Miller,TX_Hays,good analog,Non Speciality Crop,
AR_Miller,TX_Burleson,good analog,Speciality Crop,
AR_Miller,TX_Bastrop,good analog,Speciality Crop,
AR_Miller,TX_Guadalupe,good analog,Speciality Crop,
AR_Miller,TX_Fayette,good analog,Speciality Crop,
AR_Miller,TX_Gonzales,good analog,Speciality Crop,
AR_Miller,TX_Bell,good analog,Speciality Crop,
AR_Phillips,TX_Dallas,good analog,Non Speciality Crop,
AR_Phillips,TX_Kaufman,good analog,Non Speciality Crop,
AR_Phillips,TX_Tarrant,good analog,Non Speciality Crop,
AR_Phillips,TX_Ellis,good analog,Speciality Crop,
AR_Phillips,TX_Bell,good analog,Speciality Crop,
AR_Phillips,TX_Williamson,good analog,Speciality Crop,
AR_Phillips,TX_Milam,good analog,Speciality Crop,
AR_Phillips,TX_Rockwall,good analog,Non Speciality Crop,
AR_Phillips,TX_McLennan,good analog,Non Speciality Crop,
AR_Phillips,TX_Falls,good analog,Non Speciality Crop,
AZ_Cochise,TX_Loving,good analog,Non Speciality Crop,
AZ_Cochise,TX_Reeves,good analog,Non Speciality Crop,
AZ_Cochise,TX_Crane,good analog,Non Speciality Crop,
AZ_Cochise,TX_Val Verde,good analog,Non Speciality Crop,
AZ_Cochise,TX_Irion,good analog,Non Speciality Crop,
AZ_Cochise,TX_Reagan,good analog,Non Speciality Crop,
AZ_Cochise,TX_Midland,good analog,Speciality Crop,
AZ_Cochise,TX_Culberson,good analog,Non Speciality Crop,
AZ_Cochise,TX_Concho,good analog,Non Speciality Crop,
AZ_Cochise,TX_El Paso,good analog,Speciality Crop,
AZ_Graham,TX_Midland,good analog,Speciality Crop,
AZ_Graham,TX_Reagan,good analog,Non Speciality Crop,
AZ_Graham,TX_Loving,good analog,Non Speciality Crop,
AZ_Graham,TX_Irion,good analog,Non Speciality Crop,
AZ_Graham,TX_Reeves,good analog,Non Speciality Crop,
AZ_Graham,TX_Crane,good analog,Non Speciality Crop,
AZ_Graham,TX_Glasscock,good analog,Speciality Crop,
AZ_Graham,TX_Terrell,good analog,Non Speciality Crop,
AZ_Graham,TX_Andrews,good analog,Non Speciality Crop,
AZ_Graham,TX_El Paso,good analog,Speciality Crop,
AZ_Pinal,AZ_La Paz,good analog,Non Speciality Crop,
AZ_Yuma,AZ_Yuma,good analog,Speciality Crop,
AZ_Yuma,CA_Imperial,good analog,Speciality Crop,
AZ_Yuma,AZ_La Paz,good analog,Non Speciality Crop,
CA_Alameda,CA_Ventura,good analog,Speciality Crop,
CA_Alameda,CA_San Diego,good analog,Speciality Crop,
CA_Alameda,CA_Contra Costa,good analog,Speciality Crop,
CA_Alameda,CA_Alameda,good analog,Speciality Crop,
CA_Alameda,CA_Los Angeles,good analog,Speciality Crop,
CA_Alameda,CA_Santa Clara,good analog,Speciality Crop,
CA_Alameda,CA_Solano,good analog,Speciality Crop,
CA_Amador,CA_Tulare,good analog,Speciality Crop,
CA_Amador,CA_Kern,good analog,Speciality Crop,
CA_Amador,CA_Kings,good analog,Speciality Crop,
CA_Amador,CA_Riverside,good analog,Speciality Crop,
CA_Amador,CA_Glenn,good analog,Speciality Crop,
CA_Amador,CA_San Bernardino,good analog,Speciality Crop,
CA_Amador,CA_Fresno,good analog,Speciality Crop,
CA_Amador,CA_Yuba,good analog,Speciality Crop,
CA_Butte,CA_Tulare,good analog,Speciality Crop,
CA_Butte,CA_Kern,good analog,Speciality Crop,
CA_Butte,CA_San Bernardino,good analog,Speciality Crop,
CA_Butte,CA_Kings,good analog,Speciality Crop,
CA_Butte,CA_Riverside,good analog,Speciality Crop,
CA_Butte,CA_Glenn,good analog,Speciality Crop,
CA_Butte,NV_Clark,good analog,Non Speciality Crop,
CA_Butte,CA_Tehama,good analog,Speciality Crop,
CA_Butte,CA_Butte,good analog,Speciality Crop,
CA_Butte,CA_Fresno,good analog,Speciality Crop,
CA_Calaveras,CA_Tulare,good analog,Speciality Crop,
CA_Calaveras,CA_Kern,good analog,Speciality Crop,
CA_Calaveras,CA_Kings,good analog,Speciality Crop,
CA_Calaveras,CA_Glenn,good analog,Speciality Crop,
CA_Calaveras,CA_Tehama,good analog,Speciality Crop,
CA_Calaveras,CA_Yuba,good analog,Speciality Crop,
CA_Calaveras,CA_Butte,good analog,Speciality Crop,
CA_Calaveras,CA_San Bernardino,good analog,Speciality Crop,
CA_Calaveras,CA_Riverside,good analog,Speciality Crop,
CA_Colusa,CA_Tulare,good analog,Speciality Crop,
CA_Colusa,CA_Kings,good analog,Speciality Crop,
CA_Colusa,CA_Kern,good analog,Speciality Crop,
CA_Colusa,CA_Madera,good analog,Speciality Crop,
CA_Colusa,CA_Fresno,good analog,Speciality Crop,
CA_Colusa,CA_San Bernardino,good analog,Speciality Crop,
CA_Colusa,CA_Riverside,good analog,Speciality Crop,
CA_Colusa,CA_Sutter,good analog,Speciality Crop,
CA_Contra Costa,CA_Stanislaus,good analog,Speciality Crop,
CA_Contra Costa,CA_Merced,good analog,Speciality Crop,
CA_Contra Costa,CA_San Joaquin,good analog,Speciality Crop,
CA_Contra Costa,CA_Solano,good analog,Speciality Crop,
CA_Contra Costa,CA_Sacramento,good analog,Speciality Crop,
CA_Contra Costa,CA_Riverside,good analog,Speciality Crop,
CA_Contra Costa,CA_San Diego,good analog,Speciality Crop,
CA_Contra Costa,CA_Los Angeles,good analog,Speciality Crop,
CA_Contra Costa,CA_Sutter,good analog,Speciality Crop,
CA_Contra Costa,CA_Madera,good analog,Speciality Crop,
CA_El Dorado,CA_Shasta,good analog,Speciality Crop,
CA_El Dorado,CA_Nevada,good analog,Speciality Crop,
CA_El Dorado,CA_Calaveras,good analog,Speciality Crop,
CA_El Dorado,CA_Placer,good analog,Speciality Crop,
CA_El Dorado,CA_Lake,good analog,Non Speciality Crop,
CA_El Dorado,UT_Washington,good analog,Non Speciality Crop,
CA_El Dorado,KS_Chautauqua,good analog,Non Speciality Crop,
CA_El Dorado,KS_Montgomery,good analog,Non Speciality Crop,
CA_El Dorado,KS_Crawford,good analog,Non Speciality Crop,
CA_El Dorado,KS_Leavenworth,good analog,Non Speciality Crop,
CA_Fresno,CA_Riverside,good analog,Speciality Crop,
CA_Fresno,CA_Kern,good analog,Speciality Crop,
CA_Fresno,CA_San Bernardino,good analog,Speciality Crop,
CA_Fresno,CA_Tulare,good analog,Speciality Crop,
CA_Fresno,NV_Clark,good analog,Non Speciality Crop,
CA_Fresno,CA_Kings,good analog,Speciality Crop,
CA_Fresno,AZ_Pima,good analog,Non Speciality Crop,
CA_Fresno,CA_Fresno,good analog,Speciality Crop,
CA_Glenn,CA_Tulare,good analog,Speciality Crop,
CA_Glenn,CA_Kern,good analog,Speciality Crop,
CA_Glenn,CA_Kings,good analog,Speciality Crop,
CA_Glenn,CA_San Bernardino,good analog,Speciality Crop,
CA_Glenn,CA_Riverside,good analog,Speciality Crop,
CA_Glenn,CA_Fresno,good analog,Speciality Crop,
CA_Glenn,NV_Clark,good analog,Non Speciality Crop,
CA_Glenn,CA_Glenn,good analog,Speciality Crop,
CA_Kern,CA_San Bernardino,good analog,Speciality Crop,
CA_Kern,CA_Riverside,good analog,Speciality Crop,
CA_Kern,NV_Clark,good analog,Non Speciality Crop,
CA_Kern,AZ_Pima,good analog,Non Speciality Crop,
CA_Kern,CA_Kern,good analog,Speciality Crop,
CA_Kern,CA_Tulare,good analog,Speciality Crop,
CA_Kern,AZ_Pinal,good analog,Speciality Crop,
CA_Kings,CA_Riverside,good analog,Speciality Crop,
CA_Kings,CA_San Bernardino,good analog,Speciality Crop,
CA_Kings,CA_Kern,good analog,Speciality Crop,
CA_Kings,NV_Clark,good analog,Non Speciality Crop,
CA_Kings,AZ_Pima,good analog,Non Speciality Crop,
CA_Kings,CA_Kings,good analog,Speciality Crop,
CA_Kings,CA_Tulare,good analog,Speciality Crop,
CA_Los Angeles,CA_Riverside,good analog,Speciality Crop,
CA_Los Angeles,CA_Kern,good analog,Speciality Crop,
CA_Los Angeles,CA_Tulare,good analog,Speciality Crop,
CA_Los Angeles,CA_Fresno,good analog,Speciality Crop,
CA_Los Angeles,CA_Yuba,good analog,Speciality Crop,
CA_Los Angeles,CA_Kings,good analog,Speciality Crop,
CA_Los Angeles,CA_Glenn,good analog,Speciality Crop,
CA_Los Angeles,CA_Stanislaus,good analog,Speciality Crop,
CA_Los Angeles,CA_Butte,good analog,Speciality Crop,
CA_Los Angeles,CA_Yolo,good analog,Speciality Crop,
CA_Madera,CA_Kern,good analog,Speciality Crop,
CA_Madera,CA_Riverside,good analog,Speciality Crop,
CA_Madera,CA_Tulare,good analog,Speciality Crop,
CA_Madera,CA_San Bernardino,good analog,Speciality Crop,
CA_Madera,NV_Clark,good analog,Non Speciality Crop,
CA_Madera,CA_Kings,good analog,Speciality Crop,
CA_Madera,CA_Fresno,good analog,Speciality Crop,
CA_Marin,CA_Santa Barbara,good analog,Speciality Crop,
CA_Marin,CA_Alameda,good analog,Speciality Crop,
CA_Marin,CA_Marin,good analog,Speciality Crop,
CA_Marin,CA_Orange,good analog,Speciality Crop,
CA_Marin,CA_Ventura,good analog,Speciality Crop,
CA_Marin,CA_Sonoma,good analog,Speciality Crop,
CA_Marin,CA_Santa Clara,good analog,Speciality Crop,
CA_Mendocino,CA_San Luis Obispo,good analog,Speciality Crop,
CA_Mendocino,CA_Lake,good analog,Non Speciality Crop,
CA_Mendocino,CA_Nevada,good analog,Speciality Crop,
CA_Mendocino,CA_Napa,good analog,Speciality Crop,
CA_Mendocino,CA_Solano,good analog,Speciality Crop,
CA_Mendocino,CA_Calaveras,good analog,Speciality Crop,
CA_Mendocino,CA_Mendocino,good analog,Speciality Crop,
CA_Mendocino,CA_Sacramento,good analog,Speciality Crop,
CA_Mendocino,CA_Colusa,good analog,Speciality Crop,
CA_Merced,CA_Kern,good analog,Speciality Crop,
CA_Merced,CA_Kings,good analog,Speciality Crop,
CA_Merced,CA_Riverside,good analog,Speciality Crop,
CA_Merced,CA_Tulare,good analog,Speciality Crop,
CA_Merced,CA_San Bernardino,good analog,Speciality Crop,
CA_Merced,CA_Fresno,good analog,Speciality Crop,
CA_Merced,NV_Clark,good analog,Non Speciality Crop,
CA_Merced,CA_Madera,good analog,Speciality Crop,
CA_Modoc,UT_Utah,good analog,Speciality Crop,
CA_Modoc,UT_Weber,good analog,Speciality Crop,
CA_Modoc,UT_Tooele,good analog,Non Speciality Crop,
CA_Modoc,UT_Juab,good analog,Non Speciality Crop,
CA_Modoc,CO_Mesa,good analog,Speciality Crop,
CA_Modoc,UT_Salt Lake,good analog,Non Speciality Crop,
CA_Modoc,ID_Ada,good analog,Speciality Crop,
CA_Modoc,NV_Pershing,good analog,Non Speciality Crop,
CA_Modoc,ID_Gem,good analog,Non Speciality Crop,
CA_Modoc,NV_Humboldt,good analog,Non Speciality Crop,
CA_Monterey,CA_San Benito,good analog,Speciality Crop,
CA_Monterey,CA_Ventura,good analog,Speciality Crop,
CA_Monterey,CA_Alameda,good analog,Speciality Crop,
CA_Monterey,CA_San Diego,good analog,Speciality Crop,
CA_Monterey,CA_Santa Clara,good analog,Speciality Crop,
CA_Monterey,CA_Contra Costa,good analog,Speciality Crop,
CA_Monterey,CA_Monterey,good analog,Speciality Crop,
CA_Napa,CA_Yolo,good analog,Speciality Crop,
CA_Napa,CA_Yuba,good analog,Speciality Crop,
CA_Napa,CA_Stanislaus,good analog,Speciality Crop,
CA_Napa,CA_Solano,good analog,Speciality Crop,
CA_Napa,CA_Sutter,good analog,Speciality Crop,
CA_Napa,CA_Glenn,good analog,Speciality Crop,
CA_Napa,CA_Sacramento,good analog,Speciality Crop,
CA_Napa,CA_Merced,good analog,Speciality Crop,
CA_Nevada,CA_Glenn,good analog,Speciality Crop,
CA_Nevada,CA_Butte,good analog,Speciality Crop,
CA_Nevada,CA_Tulare,good analog,Speciality Crop,
CA_Nevada,CA_Yuba,good analog,Speciality Crop,
CA_Nevada,CA_Tehama,good analog,Speciality Crop,
CA_Nevada,CA_Kern,good analog,Speciality Crop,
CA_Nevada,CA_Yolo,good analog,Speciality Crop,
CA_Nevada,CA_Riverside,good analog,Speciality Crop,
CA_Nevada,CA_Kings,good analog,Speciality Crop,
CA_Nevada,CA_Amador,good analog,Speciality Crop,
CA_Orange,CA_Orange,good analog,Speciality Crop,
CA_Placer,CA_Kern,good analog,Speciality Crop,
CA_Placer,CA_Tulare,good analog,Speciality Crop,
CA_Placer,CA_Kings,good analog,Speciality Crop,
CA_Placer,CA_Glenn,good analog,Speciality Crop,
CA_Placer,CA_Riverside,good analog,Speciality Crop,
CA_Placer,CA_San Bernardino,good analog,Speciality Crop,
CA_Placer,CA_Fresno,good analog,Speciality Crop,
CA_Placer,CA_Yuba,good analog,Speciality Crop,
CA_Placer,CA_Sutter,good analog,Speciality Crop,
CA_Placer,TX_Irion,good analog,Non Speciality Crop,
CA_Riverside,AZ_Pima,good analog,Non Speciality Crop,
CA_Riverside,TX_Zavala,good analog,Speciality Crop,
CA_Riverside,TX_Kinney,good analog,Non Speciality Crop,
CA_Riverside,CA_Riverside,good analog,Speciality Crop,
CA_Riverside,AZ_Pinal,good analog,Speciality Crop,
CA_Riverside,TX_Maverick,good analog,Speciality Crop,
CA_Riverside,TX_Uvalde,good analog,Speciality Crop,
CA_Riverside,TX_La Salle,good analog,Non Speciality Crop,
CA_Sacramento,CA_Tulare,good analog,Speciality Crop,
CA_Sacramento,CA_Fresno,good analog,Speciality Crop,
CA_Sacramento,CA_Riverside,good analog,Speciality Crop,
CA_Sacramento,CA_Kern,good analog,Speciality Crop,
CA_Sacramento,CA_Kings,good analog,Speciality Crop,
CA_Sacramento,CA_Merced,good analog,Speciality Crop,
CA_Sacramento,CA_Yolo,good analog,Speciality Crop,
CA_Sacramento,CA_Sutter,good analog,Speciality Crop,
CA_Sacramento,CA_Madera,good analog,Speciality Crop,
CA_Sacramento,CA_Stanislaus,good analog,Speciality Crop,
CA_San Benito,CA_Sacramento,good analog,Speciality Crop,
CA_San Benito,CA_Solano,good analog,Speciality Crop,
CA_San Benito,CA_San Joaquin,good analog,Speciality Crop,
CA_San Benito,CA_San Diego,good analog,Speciality Crop,
CA_San Benito,CA_Sutter,good analog,Speciality Crop,
CA_San Benito,CA_Contra Costa,good analog,Speciality Crop,
CA_San Benito,CA_Ventura,good analog,Speciality Crop,
CA_San Benito,CA_Stanislaus,good analog,Speciality Crop,
CA_San Benito,CA_Placer,good analog,Speciality Crop,
CA_San Bernardino,AZ_Pima,good analog,Non Speciality Crop,
CA_San Bernardino,AZ_Pinal,good analog,Speciality Crop,
CA_San Bernardino,AZ_Maricopa,good analog,Speciality Crop,
CA_San Bernardino,AZ_La Paz,good analog,Non Speciality Crop,
CA_San Bernardino,AZ_Yuma,good analog,Speciality Crop,
CA_San Bernardino,NV_Clark,good analog,Non Speciality Crop,
CA_San Bernardino,CA_San Bernardino,good analog,Speciality Crop,
CA_San Diego,CA_Riverside,good analog,Speciality Crop,
CA_San Diego,CA_San Joaquin,good analog,Speciality Crop,
CA_San Diego,CA_Sacramento,good analog,Speciality Crop,
CA_San Diego,CA_San Diego,good analog,Speciality Crop,
CA_San Diego,CA_Ventura,good analog,Speciality Crop,
CA_San Joaquin,CA_Tulare,good analog,Speciality Crop,
CA_San Joaquin,CA_Kern,good analog,Speciality Crop,
CA_San Joaquin,CA_Riverside,good analog,Speciality Crop,
CA_San Joaquin,CA_Fresno,good analog,Speciality Crop,
CA_San Joaquin,CA_Kings,good analog,Speciality Crop,
CA_San Joaquin,CA_Merced,good analog,Speciality Crop,
CA_San Joaquin,CA_Madera,good analog,Speciality Crop,
CA_San Joaquin,CA_Sutter,good analog,Speciality Crop,
CA_San Luis Obispo,CA_Sacramento,good analog,Speciality Crop,
CA_San Luis Obispo,CA_Colusa,good analog,Speciality Crop,
CA_San Luis Obispo,CA_San Joaquin,good analog,Speciality Crop,
CA_San Luis Obispo,CA_Sutter,good analog,Speciality Crop,
CA_San Luis Obispo,CA_Solano,good analog,Speciality Crop,
CA_San Luis Obispo,CA_Riverside,good analog,Speciality Crop,
CA_San Luis Obispo,CA_San Luis Obispo,good analog,Speciality Crop,
CA_San Mateo,CA_San Mateo,good analog,Speciality Crop,
CA_Santa Barbara,CA_Santa Barbara,good analog,Speciality Crop,
CA_Santa Barbara,CA_Orange,good analog,Speciality Crop,
CA_Santa Barbara,CA_Marin,good analog,Speciality Crop,
CA_Santa Clara,CA_San Diego,good analog,Speciality Crop,
CA_Santa Clara,CA_Ventura,good analog,Speciality Crop,
CA_Santa Clara,CA_Solano,good analog,Speciality Crop,
CA_Santa Clara,CA_Contra Costa,good analog,Speciality Crop,
CA_Santa Clara,CA_Los Angeles,good analog,Speciality Crop,
CA_Santa Clara,CA_Stanislaus,good analog,Speciality Crop,
CA_Shasta,CA_Tehama,good analog,Speciality Crop,
CA_Shasta,CA_Butte,good analog,Speciality Crop,
CA_Shasta,CA_Glenn,good analog,Speciality Crop,
CA_Shasta,CA_Nevada,good analog,Speciality Crop,
CA_Shasta,CA_Tulare,good analog,Speciality Crop,
CA_Shasta,CA_Placer,good analog,Speciality Crop,
CA_Shasta,CA_Amador,good analog,Speciality Crop,
CA_Shasta,TX_Clay,good analog,Speciality Crop,
CA_Shasta,TX_Archer,good analog,Non Speciality Crop,
CA_Shasta,CA_Calaveras,good analog,Speciality Crop,
CA_Siskiyou,UT_Davis,good analog,Speciality Crop,
CA_Siskiyou,UT_Salt Lake,good analog,Non Speciality Crop,
CA_Siskiyou,OR_Jackson,good analog,Speciality Crop,
CA_Siskiyou,UT_Weber,good analog,Speciality Crop,
CA_Siskiyou,CO_Mesa,good analog,Speciality Crop,
CA_Siskiyou,AZ_Coconino,good analog,Non Speciality Crop,
CA_Siskiyou,KS_Cloud,good analog,Non Speciality Crop,
CA_Siskiyou,KS_Mitchell,good analog,Non Speciality Crop,
CA_Siskiyou,UT_Grand,good analog,Non Speciality Crop,
CA_Siskiyou,CA_Siskiyou,good analog,Speciality Crop,
CA_Solano,CA_Kern,good analog,Speciality Crop,
