State,value,Category
AL_Geneva,TX_Karnes,Non Speciality Crop
AL_Geneva,TX_McMullen,Non Speciality Crop
AL_Geneva,TX_Gonzales,Speciality Crop
AL_Geneva,TX_Maverick,Speciality Crop
AL_Geneva,TX_Zavala,Speciality Crop
AL_Houston,TX_McMullen,Non Speciality Crop
AL_Houston,TX_Atascosa,Speciality Crop
AL_Houston,TX_Maverick,Speciality Crop
AL_Houston,TX_Frio,Speciality Crop
AL_Houston,TX_Wilson,Speciality Crop
AL_Houston,TX_La Salle,Non Speciality Crop
AL_Houston,TX_Dimmit,Non Speciality Crop
AL_Houston,TX_Bexar,Speciality Crop
AL_Houston,TX_Lavaca,Speciality Crop
AL_Houston,TX_Fayette,Speciality Crop
AL_Mobile,TX_Lavaca,Speciality Crop
AL_Mobile,TX_Goliad,Non Speciality Crop
AL_Mobile,TX_Atascosa,Speciality Crop
AL_Mobile,TX_Fort Bend,Speciality Crop
AL_Mobile,TX_Wilson,Speciality Crop
AL_Mobile,TX_Colorado,Speciality Crop
AL_Mobile,TX_McMullen,Non Speciality Crop
AL_Mobile,TX_Wharton,Speciality Crop
AL_Mobile,TX_Bee,Non Speciality Crop
AL_Mobile,TX_Karnes,Non Speciality Crop
AL_Pike,TX_Bexar,Speciality Crop
AL_Pike,TX_Wilson,Speciality Crop
AL_Pike,TX_Colorado,Speciality Crop
AL_Pike,TX_Fayette,Speciality Crop
AL_Pike,TX_Washington,Speciality Crop
AL_Pike,TX_Gonzales,Speciality Crop
AL_Pike,TX_Guadalupe,Speciality Crop
AL_Pike,TX_Caldwell,Speciality Crop
AL_Pike,TX_Frio,Speciality Crop
AL_Pike,TX_Atascosa,Speciality Crop
AR_Bradley,TX_Bastrop,Speciality Crop
AR_Bradley,TX_Grimes,Non Speciality Crop
AR_Bradley,TX_Brazos,Speciality Crop
AR_Bradley,TX_Burleson,Speciality Crop
AR_Bradley,TX_Milam,Speciality Crop
AR_Bradley,TX_McLennan,Non Speciality Crop
AR_Bradley,TX_Bell,Speciality Crop
AR_Bradley,TX_Washington,Speciality Crop
AR_Bradley,TX_Travis,Speciality Crop
AR_Bradley,TX_Caldwell,Speciality Crop
AR_Chicot,TX_Guadalupe,Speciality Crop
AR_Chicot,TX_Wilson,Speciality Crop
AR_Chicot,TX_Fayette,Speciality Crop
AR_Chicot,TX_Travis,Speciality Crop
AR_Chicot,TX_Bexar,Speciality Crop
AR_Chicot,TX_Bastrop,Speciality Crop
AR_Chicot,TX_Caldwell,Speciality Crop
AR_Chicot,TX_Gonzales,Speciality Crop
AR_Chicot,TX_Frio,Speciality Crop
AR_Chicot,TX_Williamson,Speciality Crop
AR_Conway,TX_Tarrant,Non Speciality Crop
AR_Conway,TX_Denton,Non Speciality Crop
AR_Conway,TX_Dallas,Non Speciality Crop
AR_Conway,TX_Johnson,Non Speciality Crop
AR_Conway,TX_Ellis,Speciality Crop
AR_Conway,TX_Collin,Speciality Crop
AR_Conway,TX_Hunt,Speciality Crop
AR_Conway,TX_Hill,Non Speciality Crop
AR_Conway,TX_McLennan,Non Speciality Crop
AR_Conway,TX_Rockwall,Non Speciality Crop
AR_Cross,TX_Tarrant,Non Speciality Crop
AR_Cross,TX_Dallas,Non Speciality Crop
AR_Cross,TX_McLennan,Non Speciality Crop
AR_Cross,TX_Ellis,Speciality Crop
AR_Cross,TX_Denton,Non Speciality Crop
AR_Cross,TX_Bell,Speciality Crop
AR_Cross,TX_Kaufman,Non Speciality Crop
AR_Cross,TX_Rockwall,Non Speciality Crop
AR_Cross,TX_Williamson,Speciality Crop
AR_Jefferson,TX_Travis,Speciality Crop
AR_Jefferson,TX_McLennan,Non Speciality Crop
AR_Jefferson,TX_Bastrop,Speciality Crop
AR_Jefferson,TX_Guadalupe,Speciality Crop
AR_Jefferson,TX_Milam,Speciality Crop
AR_Jefferson,TX_Williamson,Speciality Crop
AR_Jefferson,TX_Tarrant,Non Speciality Crop
AR_Jefferson,TX_Caldwell,Speciality Crop
AR_Jefferson,TX_Grimes,Non Speciality Crop
AR_Jefferson,TX_Bell,Speciality Crop
AR_Little River,TX_Grimes,Non Speciality Crop
AR_Little River,TX_Brazos,Speciality Crop
AR_Little River,TX_Washington,Speciality Crop
AR_Little River,TX_Fayette,Speciality Crop
AR_Little River,TX_Burleson,Speciality Crop
AR_Little River,TX_Bastrop,Speciality Crop
AR_Little River,TX_Freestone,Non Speciality Crop
AR_Little River,TX_Milam,Speciality Crop
AR_Little River,TX_Hays,Non Speciality Crop
AR_Little River,TX_Madison,Speciality Crop
AR_Lonoke,TX_Williamson,Speciality Crop
AR_Lonoke,TX_Milam,Speciality Crop
AR_Lonoke,TX_Travis,Speciality Crop
AR_Lonoke,TX_Tarrant,Non Speciality Crop
AR_Lonoke,TX_Dallas,Non Speciality Crop
AR_Lonoke,TX_Kaufman,Non Speciality Crop
AR_Lonoke,TX_Ellis,Speciality Crop
AR_Lonoke,TX_Bell,Speciality Crop
AR_Lonoke,TX_McLennan,Non Speciality Crop
AR_Lonoke,TX_Falls,Non Speciality Crop
AR_Miller,TX_Wilson,Speciality Crop
AR_Miller,TX_Grimes,Non Speciality Crop
AR_Miller,TX_Fayette,Speciality Crop
AR_Miller,TX_Brazos,Speciality Crop
AR_Miller,TX_Gonzales,Speciality Crop
AR_Miller,TX_Guadalupe,Speciality Crop
AR_Miller,TX_Bexar,Speciality Crop
AR_Miller,TX_Bastrop,Speciality Crop
AR_Miller,TX_Frio,Speciality Crop
AR_Miller,TX_Milam,Speciality Crop
AR_Phillips,TX_Williamson,Speciality Crop
AR_Phillips,TX_Milam,Speciality Crop
AR_Phillips,TX_Travis,Speciality Crop
AR_Phillips,TX_Bell,Speciality Crop
AR_Phillips,TX_Dallas,Non Speciality Crop
AR_Phillips,TX_Tarrant,Non Speciality Crop
AR_Phillips,TX_McLennan,Non Speciality Crop
AR_Phillips,TX_Falls,Non Speciality Crop
AR_Phillips,TX_Bastrop,Speciality Crop
AR_Phillips,TX_Guadalupe,Speciality Crop
AZ_Cochise,TX_Val Verde,Non Speciality Crop
AZ_Cochise,TX_Loving,Non Speciality Crop
AZ_Cochise,TX_Crane,Non Speciality Crop
AZ_Cochise,TX_Uvalde,Speciality Crop
AZ_Cochise,TX_Reeves,Non Speciality Crop
AZ_Cochise,AZ_Pima,Non Speciality Crop
AZ_Cochise,TX_Concho,Non Speciality Crop
AZ_Cochise,TX_Kinney,Non Speciality Crop
AZ_Cochise,TX_Midland,Speciality Crop
AZ_Cochise,TX_Irion,Non Speciality Crop
AZ_Graham,TX_Crane,Non Speciality Crop
AZ_Graham,TX_Val Verde,Non Speciality Crop
AZ_Graham,TX_Irion,Non Speciality Crop
AZ_Graham,TX_Concho,Non Speciality Crop
AZ_Graham,TX_Midland,Speciality Crop
AZ_Graham,TX_Loving,Non Speciality Crop
AZ_Graham,TX_Terrell,Non Speciality Crop
AZ_Graham,TX_Reagan,Non Speciality Crop
AZ_Graham,TX_Reeves,Non Speciality Crop
AZ_Graham,TX_Glasscock,Speciality Crop
CA_Alameda,CA_San Diego,Speciality Crop
CA_Alameda,CA_Ventura,Speciality Crop
CA_Alameda,CA_Contra Costa,Speciality Crop
CA_Alameda,CA_Los Angeles,Speciality Crop
CA_Alameda,CA_Solano,Speciality Crop
CA_Alameda,CA_Alameda,Speciality Crop
CA_Alameda,CA_Stanislaus,Speciality Crop
CA_Alameda,CA_Santa Clara,Speciality Crop
CA_Amador,CA_Riverside,Speciality Crop
CA_Amador,CA_San Bernardino,Speciality Crop
CA_Amador,CA_Kern,Speciality Crop
CA_Amador,CA_Tulare,Speciality Crop
CA_Amador,NV_Clark,Non Speciality Crop
CA_Amador,CA_Kings,Speciality Crop
CA_Amador,AZ_Pima,Non Speciality Crop
CA_Amador,TX_Val Verde,Non Speciality Crop
CA_Butte,CA_Kern,Speciality Crop
CA_Butte,CA_San Bernardino,Speciality Crop
CA_Butte,CA_Riverside,Speciality Crop
CA_Butte,NV_Clark,Non Speciality Crop
CA_Butte,CA_Tulare,Speciality Crop
CA_Butte,CA_Kings,Speciality Crop
CA_Butte,AZ_Pima,Non Speciality Crop
CA_Calaveras,CA_Tulare,Speciality Crop
CA_Calaveras,CA_Kern,Speciality Crop
CA_Calaveras,CA_Riverside,Speciality Crop
CA_Calaveras,CA_San Bernardino,Speciality Crop
CA_Calaveras,NV_Clark,Non Speciality Crop
CA_Calaveras,CA_Kings,Speciality Crop
CA_Calaveras,CA_Tehama,Speciality Crop
CA_Calaveras,CA_Glenn,Speciality Crop
CA_Colusa,CA_Kern,Speciality Crop
CA_Colusa,CA_San Bernardino,Speciality Crop
CA_Colusa,CA_Riverside,Speciality Crop
CA_Colusa,CA_Tulare,Speciality Crop
CA_Colusa,CA_Kings,Speciality Crop
CA_Colusa,NV_Clark,Non Speciality Crop
CA_Colusa,CA_Fresno,Speciality Crop
CA_Colusa,CA_Madera,Speciality Crop
CA_Colusa,TX_Crane,Non Speciality Crop
CA_Contra Costa,CA_Merced,Speciality Crop
CA_Contra Costa,CA_Stanislaus,Speciality Crop
CA_Contra Costa,CA_Riverside,Speciality Crop
CA_Contra Costa,CA_Fresno,Speciality Crop
CA_Contra Costa,CA_Kern,Speciality Crop
CA_Contra Costa,CA_Tulare,Speciality Crop
CA_Contra Costa,CA_Madera,Speciality Crop
CA_Contra Costa,CA_Yolo,Speciality Crop
CA_Contra Costa,CA_Sacramento,Speciality Crop
CA_Contra Costa,CA_San Diego,Speciality Crop
CA_El Dorado,CA_Shasta,Speciality Crop
CA_El Dorado,CA_Nevada,Speciality Crop
CA_El Dorado,CA_Calaveras,Speciality Crop
CA_El Dorado,CA_Placer,Speciality Crop
CA_El Dorado,CA_Lake,Non Speciality Crop
CA_El Dorado,CA_Glenn,Speciality Crop
CA_El Dorado,CA_Tehama,Speciality Crop
CA_Fresno,CA_San Bernardino,Speciality Crop
CA_Fresno,NV_Clark,Non Speciality Crop
CA_Fresno,CA_Riverside,Speciality Crop
CA_Fresno,AZ_Pima,Non Speciality Crop
CA_Fresno,CA_Kern,Speciality Crop
CA_Fresno,AZ_Pinal,Speciality Crop
CA_Fresno,CA_Tulare,Speciality Crop
CA_Fresno,AZ_Maricopa,Speciality Crop
CA_Glenn,CA_San Bernardino,Speciality Crop
CA_Glenn,CA_Kern,Speciality Crop
CA_Glenn,CA_Riverside,Speciality Crop
CA_Glenn,NV_Clark,Non Speciality Crop
CA_Glenn,AZ_Pima,Non Speciality Crop
CA_Glenn,CA_Tulare,Speciality Crop
CA_Glenn,CA_Kings,Speciality Crop
CA_Kern,AZ_Pima,Non Speciality Crop
CA_Kern,NV_Clark,Non Speciality Crop
CA_Kern,AZ_Pinal,Speciality Crop
CA_Kern,CA_San Bernardino,Speciality Crop
CA_Kern,AZ_Maricopa,Speciality Crop
CA_Kern,CA_Riverside,Speciality Crop
CA_Kern,CA_Kern,Speciality Crop
CA_Kern,AZ_La Paz,Non Speciality Crop
CA_Kings,NV_Clark,Non Speciality Crop
CA_Kings,CA_San Bernardino,Speciality Crop
CA_Kings,AZ_Pima,Non Speciality Crop
CA_Kings,CA_Riverside,Speciality Crop
CA_Kings,AZ_Pinal,Speciality Crop
CA_Kings,CA_Kern,Speciality Crop
CA_Kings,AZ_Maricopa,Speciality Crop
CA_Los Angeles,CA_Riverside,Speciality Crop
CA_Los Angeles,CA_Kern,Speciality Crop
CA_Los Angeles,CA_Tulare,Speciality Crop
CA_Los Angeles,CA_Fresno,Speciality Crop
CA_Los Angeles,CA_Kings,Speciality Crop
CA_Los Angeles,TX_Uvalde,Speciality Crop
CA_Los Angeles,TX_Travis,Speciality Crop
CA_Los Angeles,CA_Yuba,Speciality Crop
CA_Los Angeles,TX_Williamson,Speciality Crop
CA_Los Angeles,TX_Kinney,Non Speciality Crop
CA_Madera,CA_San Bernardino,Speciality Crop
CA_Madera,NV_Clark,Non Speciality Crop
CA_Madera,CA_Riverside,Speciality Crop
CA_Madera,CA_Kern,Speciality Crop
CA_Madera,AZ_Pima,Non Speciality Crop
CA_Madera,CA_Tulare,Speciality Crop
CA_Madera,AZ_Pinal,Speciality Crop
CA_Madera,TX_Val Verde,Non Speciality Crop
CA_Marin,CA_Orange,Speciality Crop
CA_Marin,CA_Ventura,Speciality Crop
CA_Marin,CA_Santa Barbara,Speciality Crop
CA_Marin,CA_Marin,Speciality Crop
CA_Marin,CA_San Diego,Speciality Crop
CA_Marin,CA_Sonoma,Speciality Crop
CA_Mendocino,CA_San Luis Obispo,Speciality Crop
CA_Mendocino,CA_Nevada,Speciality Crop
CA_Mendocino,CA_Solano,Speciality Crop
CA_Mendocino,CA_Lake,Non Speciality Crop
CA_Mendocino,CA_Sacramento,Speciality Crop
CA_Mendocino,CA_Placer,Speciality Crop
CA_Mendocino,CA_Sutter,Speciality Crop
CA_Mendocino,CA_Yolo,Speciality Crop
CA_Mendocino,CA_Colusa,Speciality Crop
CA_Mendocino,CA_Yuba,Speciality Crop
CA_Merced,CA_Riverside,Speciality Crop
CA_Merced,CA_San Bernardino,Speciality Crop
CA_Merced,CA_Kern,Speciality Crop
CA_Merced,NV_Clark,Non Speciality Crop
CA_Merced,CA_Tulare,Speciality Crop
CA_Merced,AZ_Pima,Non Speciality Crop
CA_Merced,CA_Kings,Speciality Crop
CA_Merced,TX_Val Verde,Non Speciality Crop
CA_Merced,AZ_Pinal,Speciality Crop
CA_Modoc,UT_Weber,Speciality Crop
CA_Modoc,ID_Gem,Non Speciality Crop
CA_Modoc,ID_Ada,Speciality Crop
CA_Modoc,ID_Canyon,Speciality Crop
CA_Modoc,UT_Utah,Speciality Crop
CA_Modoc,UT_Grand,Non Speciality Crop
CA_Modoc,NV_Pershing,Non Speciality Crop
CA_Modoc,ID_Payette,Speciality Crop
CA_Modoc,UT_Davis,Speciality Crop
CA_Modoc,CO_Mesa,Speciality Crop
CA_Monterey,CA_Ventura,Speciality Crop
CA_Monterey,CA_San Diego,Speciality Crop
CA_Monterey,CA_San Benito,Speciality Crop
CA_Monterey,CA_Contra Costa,Speciality Crop
CA_Monterey,CA_Alameda,Speciality Crop
CA_Monterey,TX_Brewster,Non Speciality Crop
CA_Monterey,CA_Santa Clara,Speciality Crop
CA_Monterey,CA_Solano,Speciality Crop
CA_Napa,CA_Yuba,Speciality Crop
CA_Napa,CA_Stanislaus,Speciality Crop
CA_Napa,CA_Yolo,Speciality Crop
CA_Napa,CA_Riverside,Speciality Crop
CA_Napa,CA_Sutter,Speciality Crop
CA_Napa,CA_Glenn,Speciality Crop
CA_Napa,CA_Merced,Speciality Crop
CA_Napa,CA_Fresno,Speciality Crop
CA_Napa,CA_Kern,Speciality Crop
CA_Napa,CA_Tulare,Speciality Crop
CA_Nevada,CA_Kern,Speciality Crop
CA_Nevada,CA_Tulare,Speciality Crop
CA_Nevada,CA_Riverside,Speciality Crop
CA_Nevada,CA_San Bernardino,Speciality Crop
CA_Nevada,CA_Glenn,Speciality Crop
CA_Nevada,CA_Tehama,Speciality Crop
CA_Nevada,CA_Butte,Speciality Crop
CA_Nevada,NV_Clark,Non Speciality Crop
CA_Nevada,CA_Kings,Speciality Crop
CA_Nevada,CA_Yuba,Speciality Crop
CA_Placer,CA_Kern,Speciality Crop
CA_Placer,CA_Riverside,Speciality Crop
CA_Placer,CA_Tulare,Speciality Crop
CA_Placer,CA_San Bernardino,Speciality Crop
CA_Placer,TX_Val Verde,Non Speciality Crop
CA_Placer,CA_Kings,Speciality Crop
CA_Placer,CA_Fresno,Speciality Crop
CA_Placer,NV_Clark,Non Speciality Crop
CA_Placer,TX_McLennan,Non Speciality Crop
CA_Riverside,AZ_Pima,Non Speciality Crop
CA_Riverside,AZ_Pinal,Speciality Crop
CA_Riverside,CA_Imperial,Speciality Crop
CA_Riverside,TX_La Salle,Non Speciality Crop
CA_Riverside,TX_Zavala,Speciality Crop
CA_Riverside,AZ_Yuma,Speciality Crop
CA_Riverside,TX_Maverick,Speciality Crop
CA_Riverside,AZ_Maricopa,Speciality Crop
CA_Riverside,TX_Dimmit,Non Speciality Crop
CA_Sacramento,CA_Kern,Speciality Crop
CA_Sacramento,CA_Riverside,Speciality Crop
CA_Sacramento,CA_Tulare,Speciality Crop
CA_Sacramento,CA_Kings,Speciality Crop
CA_Sacramento,CA_Fresno,Speciality Crop
CA_Sacramento,TX_Val Verde,Non Speciality Crop
CA_Sacramento,CA_San Bernardino,Speciality Crop
CA_Sacramento,NV_Clark,Non Speciality Crop
CA_San Benito,CA_Sacramento,Speciality Crop
CA_San Benito,CA_San Joaquin,Speciality Crop
CA_San Benito,CA_Solano,Speciality Crop
CA_San Benito,CA_Sutter,Speciality Crop
CA_San Benito,CA_San Diego,Speciality Crop
CA_San Benito,CA_Stanislaus,Speciality Crop
CA_San Benito,CA_Placer,Speciality Crop
CA_San Benito,CA_Contra Costa,Speciality Crop
CA_San Benito,CA_Merced,Speciality Crop
CA_San Bernardino,AZ_Pinal,Speciality Crop
CA_San Bernardino,AZ_Maricopa,Speciality Crop
CA_San Bernardino,AZ_La Paz,Non Speciality Crop
CA_San Bernardino,AZ_Pima,Non Speciality Crop
CA_San Bernardino,AZ_Yuma,Speciality Crop
CA_San Diego,CA_Riverside,Speciality Crop
CA_San Joaquin,CA_Kern,Speciality Crop
CA_San Joaquin,CA_Riverside,Speciality Crop
CA_San Joaquin,CA_Tulare,Speciality Crop
CA_San Joaquin,CA_Fresno,Speciality Crop
CA_San Joaquin,CA_San Bernardino,Speciality Crop
CA_San Joaquin,CA_Kings,Speciality Crop
CA_San Joaquin,TX_Val Verde,Non Speciality Crop
CA_San Joaquin,NV_Clark,Non Speciality Crop
CA_San Luis Obispo,CA_Sutter,Speciality Crop
CA_San Luis Obispo,CA_Colusa,Speciality Crop
CA_San Luis Obispo,CA_Sacramento,Speciality Crop
CA_San Luis Obispo,CA_San Joaquin,Speciality Crop
CA_San Luis Obispo,CA_Riverside,Speciality Crop
CA_San Luis Obispo,CA_Merced,Speciality Crop
CA_San Luis Obispo,CA_Solano,Speciality Crop
CA_San Luis Obispo,CA_Kern,Speciality Crop
CA_Santa Barbara,CA_Orange,Speciality Crop
CA_Santa Barbara,CA_Santa Barbara,Speciality Crop
CA_Santa Clara,CA_San Diego,Speciality Crop
CA_Santa Clara,CA_Los Angeles,Speciality Crop
CA_Santa Clara,CA_Ventura,Speciality Crop
CA_Santa Clara,CA_Solano,Speciality Crop
CA_Santa Clara,CA_Contra Costa,Speciality Crop
CA_Santa Clara,CA_Stanislaus,Speciality Crop
CA_Santa Clara,CA_Sacramento,Speciality Crop
CA_Shasta,CA_Tehama,Speciality Crop
CA_Shasta,CA_Glenn,Speciality Crop
CA_Shasta,CA_Butte,Speciality Crop
CA_Shasta,CA_Tulare,Speciality Crop
CA_Shasta,CA_Kings,Speciality Crop
CA_Shasta,TX_Fisher,Non Speciality Crop
CA_Shasta,AZ_Mohave,Non Speciality Crop
CA_Shasta,CA_San Bernardino,Speciality Crop
CA_Siskiyou,UT_Davis,Speciality Crop
CA_Siskiyou,KS_Rice,Non Speciality Crop
CA_Siskiyou,KS_Cloud,Non Speciality Crop
CA_Siskiyou,KS_Ellsworth,Non Speciality Crop
CA_Siskiyou,UT_Salt Lake,Non Speciality Crop
CA_Siskiyou,KS_Mitchell,Non Speciality Crop
CA_Siskiyou,KS_Reno,Non Speciality Crop
CA_Siskiyou,KS_Stafford,Non Speciality Crop
CA_Siskiyou,UT_Grand,Non Speciality Crop
CA_Siskiyou,KS_Saline,Non Speciality Crop
CA_Solano,CA_Riverside,Speciality Crop
CA_Solano,CA_Kern,Speciality Crop
CA_Solano,CA_Tulare,Speciality Crop
CA_Solano,CA_Kings,Speciality Crop
CA_Solano,CA_Fresno,Speciality Crop
CA_Solano,CA_San Bernardino,Speciality Crop
CA_Sonoma,CA_Ventura,Speciality Crop
CA_Sonoma,CA_San Diego,Speciality Crop
CA_Sonoma,CA_Contra Costa,Speciality Crop
CA_Sonoma,CA_Solano,Speciality Crop
CA_Sonoma,CA_Napa,Speciality Crop
CA_Sonoma,CA_Sacramento,Speciality Crop
CA_Sonoma,CA_Alameda,Speciality Crop
CA_Sonoma,CA_Los Angeles,Speciality Crop
CA_Sonoma,CA_Santa Clara,Speciality Crop
CA_Stanislaus,CA_Riverside,Speciality Crop
CA_Stanislaus,CA_Kern,Speciality Crop
CA_Stanislaus,CA_Tulare,Speciality Crop
CA_Stanislaus,CA_San Bernardino,Speciality Crop
CA_Stanislaus,NV_Clark,Non Speciality Crop
CA_Stanislaus,CA_Kings,Speciality Crop
CA_Stanislaus,CA_Fresno,Speciality Crop
CA_Stanislaus,AZ_Pima,Non Speciality Crop
CA_Sutter,CA_Kern,Speciality Crop
CA_Sutter,CA_Riverside,Speciality Crop
CA_Sutter,CA_San Bernardino,Speciality Crop
CA_Sutter,NV_Clark,Non Speciality Crop
CA_Sutter,CA_Tulare,Speciality Crop
CA_Sutter,CA_Kings,Speciality Crop
CA_Sutter,AZ_Pima,Non Speciality Crop
CA_Sutter,TX_Val Verde,Non Speciality Crop
CA_Sutter,CA_Fresno,Speciality Crop
CA_Tehama,CA_San Bernardino,Speciality Crop
CA_Tehama,NV_Clark,Non Speciality Crop
CA_Tehama,CA_Kern,Speciality Crop
CA_Tehama,CA_Tulare,Speciality Crop
CA_Tehama,CA_Riverside,Speciality Crop
CA_Tehama,CA_Kings,Speciality Crop
CA_Tehama,AZ_Pima,Non Speciality Crop
CA_Tulare,NV_Clark,Non Speciality Crop
CA_Tulare,AZ_Pima,Non Speciality Crop
CA_Tulare,CA_San Bernardino,Speciality Crop
CA_Tulare,AZ_Pinal,Speciality Crop
CA_Tulare,CA_Riverside,Speciality Crop
CA_Tulare,AZ_Maricopa,Speciality Crop
CA_Tulare,CA_Kern,Speciality Crop
CA_Tulare,TX_Uvalde,Speciality Crop
CA_Tulare,TX_Val Verde,Non Speciality Crop
CA_Ventura,CA_Riverside,Speciality Crop
CA_Ventura,CA_Ventura,Speciality Crop
CA_Ventura,CA_San Diego,Speciality Crop
CA_Yolo,CA_Kern,Speciality Crop
CA_Yolo,CA_Riverside,Speciality Crop
CA_Yolo,CA_San Bernardino,Speciality Crop
CA_Yolo,CA_Tulare,Speciality Crop
CA_Yolo,NV_Clark,Non Speciality Crop
CA_Yolo,CA_Kings,Speciality Crop
CA_Yolo,CA_Fresno,Speciality Crop
CA_Yolo,AZ_Pima,Non Speciality Crop
CA_Yuba,CA_Kern,Speciality Crop
CA_Yuba,CA_Riverside,Speciality Crop
CA_Yuba,CA_San Bernardino,Speciality Crop
CA_Yuba,NV_Clark,Non Speciality Crop
CA_Yuba,AZ_Pima,Non Speciality Crop
CA_Yuba,CA_Tulare,Speciality Crop
CA_Yuba,CA_Kings,Speciality Crop
CO_Alamosa,UT_San Juan,Non Speciality Crop
CO_Alamosa,UT_Sanpete,Non Speciality Crop
CO_Alamosa,CO_Larimer,Non Speciality Crop
CO_Alamosa,NV_Washoe,Non Speciality Crop
CO_Alamosa,CO_Dolores,Non Speciality Crop
CO_Boulder,KS_Seward,Non Speciality Crop
CO_Boulder,OK_Beaver,Non Speciality Crop
CO_Boulder,OK_Texas,Non Speciality Crop
CO_Boulder,KS_Meade,Non Speciality Crop
CO_Boulder,KS_Stevens,Non Speciality Crop
CO_Boulder,KS_Finney,Non Speciality Crop
CO_Boulder,KS_Grant,Speciality Crop
CO_Boulder,KS_Ness,Non Speciality Crop
CO_Costilla,CO_Dolores,Non Speciality Crop
CO_Costilla,NM_Catron,Non Speciality Crop
CO_Costilla,CO_Garfield,Non Speciality Crop
CO_Costilla,NM_Rio Arriba,Non Speciality Crop
CO_Costilla,UT_Kane,Non Speciality Crop
CO_Costilla,CO_Moffat,Non Speciality Crop
CO_Delta,AZ_Coconino,Non Speciality Crop
CO_Delta,UT_Grand,Non Speciality Crop
CO_Delta,ID_Canyon,Speciality Crop
CO_Delta,UT_Davis,Speciality Crop
CO_Delta,KS_Stevens,Non Speciality Crop
CO_Delta,OK_Texas,Non Speciality Crop
CO_Delta,OK_Beaver,Non Speciality Crop
CO_Delta,UT_Washington,Non Speciality Crop
